Index	Bogennummer	REDE_Namen	Sprache	IM	DES	-	WINTER	FLIEGEN	DIE	TROCKENEN	BLATTER	LAAB	DURCH	IN	LUFT	HERUM	UMEINANDER	RUND	UMBEI	__parsed_extra
ab	12942	Rothenfurth	1	I n	-	-	W i n d e r - -	f l ie g - n - - - - - -	d e	d r ä u c h e n	B l ä d d e r	-	d o r c h	-	L u f d	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	1296	Zabin	1	J m	-	-	W i n t e - - -	f l e g a - - - - - - -	d e	d r ö g a	B l e i d e	-	d ö c h	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
ab	12969	Borlas	1	I m	-	-	W i n t e r - -	f l ie g e n - - - - - -	d ' r	t r ä u g n	B l ä t t e r	-	-	i n	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
ab	13005	Dohna	1	I m	-	-	W i n t e r - -	f l ie h - n - - - - - -	d ' r	t r e i c h e n	B l ä t t e r	-	-	i n	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	13019	Porschdorf	1	I n	-	-	W i n t e r - -	f l ie h - n - - - - - -	d e	t r ä u c h e n	B l ä t t e r	-	d u r c h	-	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
ab	13047	Morgenröthe	1	I m	-	-	W i n t e r - -	f l ie ng - - - - - - - -	d i e	t r e i n g	B l ö t t e r	-	d u r c h	-	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	13054	Rittersgrün	1	I n	-	-	W i n t e r - -	f l i ng - - - - - - - -	d e r	t r e i n g	B l e t t e r	-	-	i n	L u f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
ab	1315	Kamien	1	I m	-	-	W i n t e - - -	f l ei g - n - - - - - -	d e i	d r ö g e	B l ä d e	-	d ö	-	L u f t	- - - h ü r ē mm e - - - -	- - - - - - - - - - - -	-	-	-
bc	13169	Saupersdorf	1	I m	-	-	W i n t e r - -	f l ie ng - - - - - - - -	d e	t r e i n g	B l e t t e r	-	d o r c h	-	L u f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
bc	13187	Kühnheide	1	n	-	-	W i n t e r - -	f l ie ng - - - - - - - -	d e	t r e i n g	B l e t t e r	-	d o r c h	-	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
bc	13210	Himmelmühle	1	I n n ă	-	-	W i n t ă r - -	f l ie ng - - - - - - - -	d e r	t r e i n g	B l ä t t ă r	-	-	i n	L o f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
bc	13226	Rübenau	1	I n	-	-	W i n t e r - -	f l ie g - n - - - - - -	-	t r e i c h n	B l ä t t e r	-	-	-	-	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
bc	13269	Thurm	1	I m	-	-	W i n t e r - -	f l ie g e n - - - - - -	d e	t r e i g e n	B l ä t t e r	-	d u r c h	-	L u f t	- - - - - r u m - - - - -	- - - - - - - - - - - -	-	-	-
bc	13286	Ursprung	1	I n n	-	-	W i n t e r - -	f l ie ng - - - - - - - -	d i e	t r e u n g	B l ä t t e r	-	d o r c h	-	L u f t	- - - - - r ü mm - - - - -	- - - - - - - - - - - -	-	-	-
bc	133	Sosnowo	1	I m	-	-	W i n t a - - -	f l ei g a - - - - - - -	d e i	d r ö g a	B l ä r a	-	d ö r c h	-	L u f t	- - - - - r ü mm a - - - -	- - - - - - - - - - - -	-	-	-
bc	13317	Dittmannsdorf	1	E m	-	-	W e n t a - - -	f l ie ng - - - - - - - -	d e	t r e i c h e n	B l ä t t a	-	d o r c h	-	L o f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
bc	13340	Grosshartmannsdorf	1	I n a	-	-	W i n d ă - - -	f l ie j - n - - - - - -	d ă	d r e i c h n	B l ä d d ă	-	-	i n	L u f d	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
bc	13355	Reichenau	1	J m	-	-	W i n t e r - -	f l ie h - n - - - - - -	d e	d r e i c h e n	B l ä t t e r	-	d o r c h	-	L u f t	- - - h - r u m - - - - -	- - - - - - - - - - - -	-	-	-
bc	13372	Liebenau	1	I m	-	-	W i n t e r - -	f l ie h - n - - - - - -	d e	t r e i g e n	B l ä t t e r	-	d u r c h	-	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
bc	1338	Dzidno	1	I m	-	-	W i n t ä - - -	f l ei j a - - - - - - -	d e i	d r ö j a	B l ä d d e	-	d ö	-	L u f t	- - - h e r ü m e - - - -	- - - - - - - - - - - -	-	-	-
bc	13529	Wang-Brückenberg	1	m	-	-	W i n t e r - -	f l ie g a - - - - - - -	d e r	t r e i g a	B l ä t t e r	-	-	e i	L u f t	- - - - - r ü mm - - - - -	- - - - - - - - - - - -	-	-	-
bc	13543	Pisarzowice	1	E i m	-	-	W i n t e r - -	f l ie g a - - - - - - -	d i e	t r e u g a	B l ä t t e r	-	d o r c h	-	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
bc	13559	Boguszow-Gorce	1	E i m	-	-	W i n t e r - -	f l ie g a - - - - - - -	d ĕ r	t r e u j a	B l ä t t e r	-	-	e i	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
bc	13655	Niederleutersdorf/Leutersdorf	1	A n	-	-	W i n t e r - -	f l ie g e n - - - - - -	d e	t r o i g e n	B l ä t t e r	-	d o r c h	-	L o f t	- - - - - r ö mm - - - - -	- - - - - - - - - - - -	-	-	-
bc	13678	Rohnau (-)	1	A n	-	-	W i n t e r - -	f l ie g - n - - - - - -	d ' r	d r e u ̃ g e n	B l ä t t e r	-	-	ă	L u f t	- - - - - r ĭ m - - - - -	- - - - - - - - - - - -	-	-	-
