Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	müde	wir	sind	und	uns	haben	einen	Durst
541746	20,50003508	54,76991096	1747	BEYDRITTEN (PERVOMAJSKIJ)	1	möd	Wi	sönd	un	-	hebbn	-	derscht.
541755	20,77992635	54,78017981	1758	BRASDORF (ANTONOVKA)	1	meed	Wi	send	on	-	hebbe	-	derrscht.
541782	21,08440964	54,75089788	1772	GROￃﾟ GOLDBACH (SLAVINSK)	1	med	Wie	send	on	-	hebe	-	dörscht.
541836	22,5167	54,8167	1829	RUDSZEN (POLTAVSKOE)	1	med	Wie	sent	un	-	hebbe	-	derscht.
541847	22,81669606	54,80000132	1842	WARUPￃﾖNEN (FￃﾋDOROVKA)	1	med	Wie	send	un	-	hebbe	-	durscht.
541892	21,33071539	54,71800592	1895	KￃﾖNIGLICH DAMERAU	1	med	Wie	send	on	-	hebbe	-	derscht.
541900	21,6499872	54,73016708	1904	PESSELN	1	möhd	Wie	sönn	onn	-	hebbe	-	därscht.
541915	21,93005406	54,69998961	1919	GROￃﾟ GERLAUKEN (VJAZOVKA)	1	möd	Wir	sönd	onn	-	hebbn	-	dorst.
541919	22,21995783	54,67997099	1924	PAKALLNISCHKEN (SUVOROVO)	1	möd	Wie	send	on	-	häbbe	-	därscht.
535058	19,90818698	54,64428333	1953	PILLAU	1	möhd	Wie	sönnd	onn	-	hebbn	-	därscht.
541947	20,15361676	54,5820861	1956	PATERSORT (BEREGOVOE)	1	med	Wir	sen	onn	-	hebbe	-	derscht.
541953	20,42971236	54,62002257	1962	BERGAU (TZWETKOWO)	1	möd	Wie	sönd	on	-	häbbe	-	därscht.
541967	20,75395508	54,59520723	1977	FUCHSBERG (SEMￃﾋNOVO)	1	meed	Wie	sön	on	-	häbbe	-	därscht.
541989	21,02997097	54,6200058	1987	PREGELSWALDE (-)	1	med	Wi	send	onn	-	hebbe	-	dertscht.
542060	22,50016715	54,62991219	2067	ENSKEMEN (-)	1	med	Wi	send	ön	-	hebbe	-	dorscht.
535064	22,73599317	54,63812267	2081	EYDTKAU (EYDTKUHNEN)	1	med	Wir	senn	un	-	hebbe	-	derscht.
541353	21,27474769	54,57882765	2127	KLEIN NUHR (SUKHODOL'YE)	1	med	Wie	sen	on	-	hebbn	-	derscht.
542122	21,62013419	54,57005281	2135	SKUNGIRREN (PEN'KI)	1	med	Wie	sent	aon	-	hebbe	-	derscht.
542131	21,88330517	54,51668997	2145	KURSCHEN (KUZ'MINO)	1	möd	Wi	send	on	-	hebbe	-	derscht.
542154	22,16975911	54,52012092	2161	KALNEN (-)	1	möd	Wie	sönd	onn	-	hebbe	-	dorscht.
542508	22,42986516	54,5016424	2182	SOGINTEN (SVIRSKOE)	1	med	Wie	sen	uck	-	-	-	därschtig.
540912	19,67147972	54,46957437	2200	NARMELN (POLSKI)	1	med	Wi	sennd	onn	-	häwen	-	därscht.
543105	19,84999981	54,46997869	2204	LEYSUHNEN (ￅﾠￄﾌUKINO)	1	möd	Wir	sönn	ann	-	hebbe	-	derscht.
545946	20,17466577	54,43254804	2216	HERMSDORF (POGRANIￄﾌNYJ)	1	möd	Wi	sönd	onn	-	hebbe	-	därscht.
545940	20,44948952	54,44766449	2225	MORITTEN (OKTJABRSKOE)	1	möd	Wi	sönn	on	-	hebbn	-	derscht.
535077	20,70648261	54,44337509	2242	NAUNIENEN	1	möd	Wie	sön	on	-	hebbe	-	derscht.
547762	22,66645761	54,4857982	2338	WENSLOWISCHKEN (VOZNESENSKOYE)	1	meed	Wie	send	onn	-	hebbe	-	derscht.
