Longitude	Latitude	REDE_GIDs	Name	Bogennummer	REDE_Namen	Sprache
15.58516769	49.28224193	545691	STANNERN (STONAￅﾘOV)	17878	Stannern (Stonařov)	1
14.95990581	49.21963599	545693	RIEGERSCHLAG (LODHￃﾉￅﾘOV)	17881	Riegerschlag (Lodhéřov)	1
15.002329	49.202983	540970	WENKERSCHLAG (DOLNￃﾍ RADOUￅﾇ)	17882	Wenkerschlag (Dolní Radouň)	1
14.95741261	49.13556567	545696	BUCHEN (BUK)	17884	Buchen (Buk)	1
15.12750069	49.11172776	545706	HOSTERSCHLAG (ￄﾌLUNEK)	17895	Hosterschlag (Člunek)	1
15.35769926	49.08701313	545709	LIPOLZ (LIPOLEC)	17898	Lipolz (Lipolec)	1
16.63439555	49.18723537	545741	CZERNOWITZ (ￄﾌERNOVICE)	17940	Czernowitz (Černovice)	1
16.90652995	49.21777218	545743	GUNDRUM (KOMOￅﾘANY)	17942	Gundrum (Komořany)	1
16.48229302	49.05485994	545755	PRAHLITZ (PRAVLOV)	17956	Prahlitz (Pravlov)	1
16.60669491	49.05257221	545760	WOIKOWITZ (VOJKOVICE)	17961	Woikowitz (Vojkovice)	1
