Index	Bogennummer	REDE_Namen	Sprache	WS28::Transliteration WS 28
cd	1747	Beydritten (Pervomajskij)	1	Ju dörwe nich son Kindaspöll driwe.
cd	17504	Neu-Biela (Lavičné)	1	Ihr tejt net set' t Tummheitn teibn.
cd	17512	Schlettau (Slatina)	1	Ihr sellt nett sette Kindrain trabn.
cd	17520	Runarz	1	Īe teət nī secha Kendəraien traibn.
cd	17521	Nebotein (Hnĕvotín)	1	Ejs te(rfts doch ni(a) sett(a) kind(er)schi Sochn mochn.
cd	17568	Tillendorf (Tylov)	1	Ihr dürft nie setta Kinderrein treim.
cd	1758	Brasdorf (Antonovka)	1	Ju motte nich sollke Kinderiĕ driwe.
cd	17585	Mladetzko (Mladecko)	1	Ihr derft nie settes bledes Zeig treibn (Kindereien nicht gebräuchlich)
cd	17643	Seibersdorf (Bělá)	1	Ihr därft nie secha Dummheiten treim.
cd	17659	Bernhau (Barnov)	1	Ihr därft nie setta Tummhaeten machen.
cd	17680	Klantendorf	1	Ihr defft nie su kejndisch sein.
cd	17687	Engelswald (Mošnov)	1	Ihr deft nie sette Kindereiê treiwê.
cd	17698	Nirklowitz (Mrsklesy)	1	Mocht ni settes dummes Zeig.
cd	17713	Punkendorf (Boňkov)	1	Ihr tefft nie setta Kenderein treibn.
cd	1772	Groß Goldbach (Slavinsk)	1	Ju derwe nich solk Kinderrie driwe.
cd	17726	Halbendorf (Polouvsí)	1	Ihr tefft nie sette Kenderei treibe.
cd	17737	Senftleben (Ženklava)	1	Ihr tert ne sette Kenderein treiwe.
cd	-17739	Polanka Wielka	1	Ihr derft net so Kinnerein treibn.
cd	-17744	Bulowice	1	Ihr dirft net solche Kindereien treiben.
cd	-17746	Chocznia	1	Éis derfts net sèicheni Șpergamenke (Faxn) treiben.
cd	-17749	Alt-Bielitz (Stare Bielesko)	1	Ihr dieft ne sette Kindereja macha.
cd	17759	Linz (Mlýnec)	1	Derfts koi sua Kinarei treim.
cd	17782	Kohlheim (Uhliště)	1	Es därfts net secha kindische Soch'n treim.
cd	17792	Čachrau (Čachrov)	1	Ös döafts net so Kinareian treim.
cd	17801	Hurkental (Hůrka)	1	Ihr dörfts koi sechane Dummheitn treibn.
cd	17824	Rotsaifen (Červená)	1	Des deafts o ned so kindisch sa!
cd	17832	Winterberg (Vimberk)	1	E|is deafts nit se|ichani Dummhein treim.
cd	17843	Sehrlenz (Ždírec)	1	dets dirfc net seti(a) kind(a)rajn trajm.
cd	17854	Irsching (Jiřín)	1	Dös dürfts nit setene Kindereien treim.
cd	17862	Hilbersdorf (Jihlava-Heroltice)	1	Dets difts nit setles läpischszeig treim.
cd	17876	Sollowitz (Salavice)	1	Öts dürfts net sötene Kindrstückla mochn.
cd	17878	Stannern (Stonařov)	1	Dets dürfts net setene Spasettla treiben.
cd	17881	Riegerschlag (Lodhéřov)	1	Döis derft's nid sou kindischi Socha dreibn.
de	17882	Wenkerschlag (Dolní Radouň)	1	Döis derfts net sou Kindereien mocha.
de	17884	Buchen (Buk)	1	Deis derfts nit sölligi Dummhein treim.
de	17895	Hosterschlag (Člunek)	1	Deïs derfts nit saligi Dummheitn mocha.
de	17898	Lipolz (Lipolec)	1	Ös derft's nit solche Kindereien trei'm.
de	17940	Czernowitz (Černovice)	1	Eis deafts nia settiga Kindarei trajbn.
de	17942	Gundrum (Komořany)	1	Ejs teafts net soleochea Tomhoitn troibn.
de	17956	Prahlitz (Pravlov)	1	Es derfst net solche Kinderei treiben.
de	17961	Woikowitz (Vojkovice)	1	E ös derftst nit furt su kindisch rumspialn.
de	17967	Sub-Lechnitz (Lechnica)	1	Ihr terfen net sona Kinareja treiba
de	17968	Topportz (Toporec)	1	Nëch traib doch sëtte tommhaitn (Këndrain)
de	17972	Hobgard (Chmeľnica)	1	Ihr derft nëch sëtte Tjëndersche Sachn treib'n.
de	17981	Neu Walddorf (Nová Lesná)	1	Iir dërft nech sëte Faksen mochn.
de	17993	Durelsdorf (Tvarožná)	1	Jhr darft nech sette Naretei treibn.
