Index	Bogennummer	REDE_Namen	Sprache	WS10::Transliteration WS10
bc	13372	Liebenau	1	Ich will's oh ni meh wieder thun!
bc	1338	Dzidno	1	Ich wi dat ohk ni măjä weddn dähä.
bc	13529	Wang-Brückenberg	1	Ich wihls nimme wieder macha.
bc	13543	Pisarzowice	1	Iech wiels au nimme wieder thun.
bc	13559	Boguszow-Gorce	1	Ich wiels au wedder nimme thun!
bc	13655	Niederleutersdorf/Leutersdorf	1	Ich wöll s o nö mi machen.
bc	13678	Rohnau (-)	1	īch will's oh ne mih moachen.
bc	13700	Rebiszow	1	Ich wiel's au nimme wieder dhun.
bc	13719	Siedlecin	1	Ich wārs nemmie (wetter nä) macha.
bc	13727	Myslow	1	Ich wiel's nimmeh wieder thun.
bc	13745	Jugowa	1	Ich wihl's au ni meh wieder thun.
bc	13830	Wlodowice	1	Iech wiell's aa nemme wieder thun.
bc	13869	Biernacice	1	Ich wils salber nimme thun.
bc	13887	Rzymiany	1	Ich wiel es och nich wieder thun.
bc	13898	Szadurczyce	1	Ich wils nimme mihr wieder thun.
bc	13929	Stoszowice	1	Ich wiels au nimme wieder thun.
bc	13996	Lutomia Gorna	1	Ich wiel's och nimme wieder thun.
bc	14023	Roztocznik	1	Ich wīls ōch nich wieder thun.
bc	1403	Dobieszewo	1	Ik willt uk ni werra daua.
bc	14034	Lipowa	1	Iich wiels ooch nimmer wieder thun.
bc	14074	Michalow	1	Ich wiel's o nimme wieder thun.
bc	14092	Karczow	1	Ich will es och nie mee wieder thun.
bc	14159	Jutrzyna	1	Ich wils o nimme wieder thun!
bc	1417	Rydzewo	1	Ick wü 't uck ni mee werre daue.
bc	14234	Brzoza	1	Ich wiel es och nich mehr wieder thun!
bc	14250	Jaczkowice	1	Ich will es och ni me wieder thun!
bc	14275	Piastowice	1	Ich wils och nich mehr wieder thun.
bc	14305	Bozanow	1	Ich wiel's oo nimme wieder thun.
bc	1432	Rzepowo	1	Ick wit ok ne mehe wedde dohe.
bc	14321	Rogow Sobocki	1	Ich wiels o nimme wieder thun.
bc	14382	Wölfelsdorf (Wilkanów)	1	Ech wels nemme thun.
bc	1442	Lubowo	1	Ik wiet uck ni werre dau.
bc	14449	Thröm (Trebom)	1	Ich well’s a nimma weder thun.
bc	14458	Szczytna	1	Ich wils a nemme wieder macha.
bc	14471	Jaszkowa Gorna	1	Iech wiols a nemme wieder thun!
bc	14486	Nadziejow	1	Ich will et och nicht mehr wieder thun.
bc	145	Smardzko	1	Ick wüt ook nich mehe werre daue.
bc	14505	Piorunkowice	1	Ich wihls au ni meh wieder thun!
bc	1451	Steinforth (Brodźce)	1	Ijj witt t' ?uk ni mehä weddä dauä.
